Date,Date Key,Day Name,Day Number,Day Short Name,Month Name,Month Number,Month Short Name,Month Year,Qtr Number,Qtr Year,Year
1/3/2013 0:00,41277,Thursday,5,Thu,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/5/2013 0:00,41279,Saturday,7,Sat,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/7/2013 0:00,41281,Monday,2,Mon,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/9/2013 0:00,41283,Wednesday,4,Wed,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/11/2013 0:00,41285,Friday,6,Fri,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/12/2013 0:00,41286,Saturday,7,Sat,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/14/2013 0:00,41288,Monday,2,Mon,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/15/2013 0:00,41289,Tuesday,3,Tue,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/17/2013 0:00,41291,Thursday,5,Thu,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/18/2013 0:00,41292,Friday,6,Fri,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/19/2013 0:00,41293,Saturday,7,Sat,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/21/2013 0:00,41295,Monday,2,Mon,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/22/2013 0:00,41296,Tuesday,3,Tue,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/23/2013 0:00,41297,Wednesday,4,Wed,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/24/2013 0:00,41298,Thursday,5,Thu,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/25/2013 0:00,41299,Friday,6,Fri,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/26/2013 0:00,41300,Saturday,7,Sat,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/28/2013 0:00,41302,Monday,2,Mon,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/31/2013 0:00,41305,Thursday,5,Thu,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
2/1/2013 0:00,41306,Friday,6,Fri,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
2/5/2013 0:00,41310,Tuesday,3,Tue,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
2/6/2013 0:00,41311,Wednesday,4,Wed,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
2/7/2013 0:00,41312,Thursday,5,Thu,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
2/8/2013 0:00,41313,Friday,6,Fri,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
2/9/2013 0:00,41314,Saturday,7,Sat,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
2/11/2013 0:00,41316,Monday,2,Mon,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
2/13/2013 0:00,41318,Wednesday,4,Wed,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
2/14/2013 0:00,41319,Thursday,5,Thu,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
2/15/2013 0:00,41320,Friday,6,Fri,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
2/18/2013 0:00,41323,Monday,2,Mon,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
2/20/2013 0:00,41325,Wednesday,4,Wed,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
2/21/2013 0:00,41326,Thursday,5,Thu,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
2/22/2013 0:00,41327,Friday,6,Fri,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
2/23/2013 0:00,41328,Saturday,7,Sat,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
2/25/2013 0:00,41330,Monday,2,Mon,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
2/26/2013 0:00,41331,Tuesday,3,Tue,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
2/27/2013 0:00,41332,Wednesday,4,Wed,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
2/28/2013 0:00,41333,Thursday,5,Thu,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
3/1/2013 0:00,41334,Friday,6,Fri,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/4/2013 0:00,41337,Monday,2,Mon,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/6/2013 0:00,41339,Wednesday,4,Wed,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/7/2013 0:00,41340,Thursday,5,Thu,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/8/2013 0:00,41341,Friday,6,Fri,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/9/2013 0:00,41342,Saturday,7,Sat,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/11/2013 0:00,41344,Monday,2,Mon,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/12/2013 0:00,41345,Tuesday,3,Tue,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/15/2013 0:00,41348,Friday,6,Fri,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/16/2013 0:00,41349,Saturday,7,Sat,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/18/2013 0:00,41351,Monday,2,Mon,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/19/2013 0:00,41352,Tuesday,3,Tue,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/20/2013 0:00,41353,Wednesday,4,Wed,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/21/2013 0:00,41354,Thursday,5,Thu,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/22/2013 0:00,41355,Friday,6,Fri,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/23/2013 0:00,41356,Saturday,7,Sat,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/25/2013 0:00,41358,Monday,2,Mon,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/27/2013 0:00,41360,Wednesday,4,Wed,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
4/1/2013 0:00,41365,Monday,2,Mon,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
4/2/2013 0:00,41366,Tuesday,3,Tue,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
4/3/2013 0:00,41367,Wednesday,4,Wed,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
4/4/2013 0:00,41368,Thursday,5,Thu,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
4/5/2013 0:00,41369,Friday,6,Fri,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
4/8/2013 0:00,41372,Monday,2,Mon,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
4/9/2013 0:00,41373,Tuesday,3,Tue,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
4/10/2013 0:00,41374,Wednesday,4,Wed,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
4/11/2013 0:00,41375,Thursday,5,Thu,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
4/12/2013 0:00,41376,Friday,6,Fri,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
4/13/2013 0:00,41377,Saturday,7,Sat,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
4/15/2013 0:00,41379,Monday,2,Mon,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
4/16/2013 0:00,41380,Tuesday,3,Tue,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
4/17/2013 0:00,41381,Wednesday,4,Wed,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
4/18/2013 0:00,41382,Thursday,5,Thu,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
4/19/2013 0:00,41383,Friday,6,Fri,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
4/20/2013 0:00,41384,Saturday,7,Sat,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
4/22/2013 0:00,41386,Monday,2,Mon,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
4/23/2013 0:00,41387,Tuesday,3,Tue,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
4/24/2013 0:00,41388,Wednesday,4,Wed,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
4/25/2013 0:00,41389,Thursday,5,Thu,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
4/30/2013 0:00,41394,Tuesday,3,Tue,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
5/1/2013 0:00,41395,Wednesday,4,Wed,4-Jan-00,5,May,May 2013,2,"2, 2013",2013
5/3/2013 0:00,41397,Friday,6,Fri,4-Jan-00,5,May,May 2013,2,"2, 2013",2013
5/4/2013 0:00,41398,Saturday,7,Sat,4-Jan-00,5,May,May 2013,2,"2, 2013",2013
5/6/2013 0:00,41400,Monday,2,Mon,4-Jan-00,5,May,May 2013,2,"2, 2013",2013
5/8/2013 0:00,41402,Wednesday,4,Wed,4-Jan-00,5,May,May 2013,2,"2, 2013",2013
5/10/2013 0:00,41404,Friday,6,Fri,4-Jan-00,5,May,May 2013,2,"2, 2013",2013
5/13/2013 0:00,41407,Monday,2,Mon,4-Jan-00,5,May,May 2013,2,"2, 2013",2013
5/15/2013 0:00,41409,Wednesday,4,Wed,4-Jan-00,5,May,May 2013,2,"2, 2013",2013
5/16/2013 0:00,41410,Thursday,5,Thu,4-Jan-00,5,May,May 2013,2,"2, 2013",2013
5/20/2013 0:00,41414,Monday,2,Mon,4-Jan-00,5,May,May 2013,2,"2, 2013",2013
5/22/2013 0:00,41416,Wednesday,4,Wed,4-Jan-00,5,May,May 2013,2,"2, 2013",2013
5/23/2013 0:00,41417,Thursday,5,Thu,4-Jan-00,5,May,May 2013,2,"2, 2013",2013
